rank,player,id,team,age,pos,yards_before_catch,ybc_per_reception,yards_after_catch,before_catch_perc,yac_per_reception,depth_of_target,broken_tackles,broken_tackles_per_reception,drops,drop_perc,interceptions_on_targets,passer_rating,games,games_started,targets,receptions,catch_perc,yards,yards_per_reception,td_per_reception,td,firstdowns_per_reception,first_downs,long,yards_per_target,receptions_per_game,yards_per_game,fumbles,fum_per_reception
70,Ezekiel Elliott,ElliEz00,DAL,25,RB,-22,-0.4,360,-0.065088757,6.9,-0.2,2,0.038461538,8,11.3,3,74.7,15,15,71,52,0.732,338,6.5,0.038461538,2,0.384615385,20,19,4.8,3.5,22.5,6,0.115384615
202,Kenny Golladay,GollKe00,DET,27,wr,300,15,38,0.887573964,1.9,14.6,0,0,2,6.3,0,119,5,5,32,20,0.625,338,16.9,0.1,2,0.8,16,48,10.6,4,67.6,0,0
121,Zach Ertz,ErtzZa00,PHI,30,TE,247,6.9,88,0.737313433,2.4,7.4,0,0,5,6.9,3,50.4,11,11,72,36,0.5,335,9.3,0.027777778,1,0.444444444,16,42,4.7,3.3,30.5,0,0
165,Kyle Rudolph,RudoKy00,MIN,31,TE,170,6.1,164,0.508982036,5.9,7.1,2,0.071428571,0,0,0,111.8,12,12,37,28,0.757,334,11.9,0.035714286,1,0.571428571,16,25,9,2.3,27.8,1,0.035714286
183,Odell Beckham Jr.,BeckOd00,CLE,28,wr,273,11.9,46,0.855799373,2,13.6,2,0.086956522,1,2.3,1,91.1,7,7,43,23,0.535,319,13.9,0.130434783,3,0.739130435,17,43,7.4,3.3,45.6,0,0
193,Julian Edelman,EdelJu00,NWE,34,wr,251,12,64,0.796825397,3,10.3,0,0,3,7.7,3,48.6,6,1,39,21,0.538,315,15,0,0,0.857142857,18,49,8.1,3.5,52.5,0,0
135,David Johnson,JohnDa08,HOU,29,RB,79,2.4,235,0.251592357,7.1,3.7,0,0,2,4.3,0,104.8,12,12,46,33,0.717,314,9.5,0.060606061,2,0.484848485,16,32,6.8,2.8,26.2,2,0.060606061
194,Darren Fells,FellDa01,HOU,34,TE,135,6.4,177,0.432692308,8.4,7.1,6,0.285714286,0,0,0,150.6,16,14,28,21,0.75,312,14.9,0.19047619,4,0.761904762,16,44,11.1,1.3,19.5,0,0
133,N'Keal Harry,HarrNK00,NWE,23,wr,204,6.2,105,0.660194175,3.2,8,4,0.121212121,1,1.8,2,70,14,9,57,33,0.579,309,9.4,0.060606061,2,0.454545455,15,30,5.4,2.4,22.1,1,0.03030303
111,Kareem Hunt,HuntKa00,CLE,25,rb,24,0.6,280,0.078947368,7.4,1.4,5,0.131578947,4,7.8,0,121.7,16,5,51,38,0.745,304,8,0.131578947,5,0.5,19,26,6,2.4,19,2,0.052631579
257,Donovan Peoples-Jones,PeopDo00,CLE,21,wr,227,16.2,77,0.746710526,5.5,16.6,0,0,1,5,0,145.8,12,2,20,14,0.7,304,21.7,0.142857143,2,0.714285714,10,75,15.2,1.2,25.3,0,0
221,Marvin Hall,HallMa02,2TM,27,,244,13.6,58,0.80794702,3.2,17.2,0,0,4,12.5,,109.1,12,6,32,18,0.563,302,16.8,0.111111111,2,0.555555556,10,73,9.4,1.5,25.2,0,0
